Date,Open,High,Low,Close,Adj Close,Volume
2013-05-26,2.503000,2.663000,2.430000,2.454000,1.723226,1750
2013-06-02,2.346000,2.574000,2.346000,2.354000,1.653005,0
2013-06-09,2.341000,2.401000,2.222000,2.401000,1.686008,0
2013-06-16,2.323000,2.355000,2.099000,2.099000,1.473941,2500
2013-06-23,2.024000,2.204000,2.024000,2.202000,1.546268,740
2013-06-30,2.116000,2.364000,2.116000,2.364000,1.660027,450
2013-07-07,2.292000,2.465000,2.292000,2.465000,1.730950,0
2013-07-14,2.406000,2.645000,2.406000,2.567000,1.802576,9111
2013-07-21,2.546000,2.701000,2.500000,2.500000,1.755527,1300
2013-07-28,2.517000,2.608000,2.446000,2.608000,1.831366,3000
2013-08-04,2.542000,2.696000,2.487000,2.696000,1.893161,1687
2013-08-11,2.933000,2.938000,2.733000,2.733000,1.919142,0
2013-08-18,2.758000,2.966000,2.692000,2.966000,2.082758,0
2013-08-25,2.940000,2.940000,2.786000,2.877000,2.020261,0
2013-09-01,2.915000,3.109000,2.915000,3.109000,2.183174,10000
2013-09-08,3.069000,3.316000,3.069000,3.143000,2.286525,4000
2013-09-15,3.175000,3.200000,3.100000,3.140000,2.284343,100
2013-09-22,3.152000,3.459000,3.152000,3.451000,2.510594,14330
2013-09-29,3.237000,3.275000,3.237000,3.275000,2.382555,3100
2013-10-06,3.273000,3.458000,3.227000,3.458000,2.515687,2000
2013-10-13,3.416000,3.770000,3.416000,3.681000,2.677918,1900
2013-10-20,3.681000,3.784000,3.594000,3.596000,2.616081,2000
2013-10-27,3.720000,3.720000,3.582000,3.582000,2.605897,200
2013-11-03,3.709000,4.100000,3.709000,3.798000,2.763036,17370
2013-11-10,3.790000,4.010000,3.790000,4.010000,2.917266,6000
2013-11-17,4.063000,4.063000,3.920000,3.920000,2.851791,7974
2013-11-24,3.885000,3.885000,3.753000,3.761000,2.736118,1600
2013-12-01,3.716000,3.746000,3.633000,3.729000,2.712839,3000
2013-12-08,3.744000,3.744000,3.444000,3.444000,2.505502,5600
2013-12-15,3.444000,3.688000,3.444000,3.688000,2.683011,3200
2013-12-22,3.702000,3.702000,3.665000,3.665000,2.666279,2000
2013-12-29,3.729000,3.805000,3.729000,3.750000,2.728116,5000
2014-01-05,3.734000,3.735000,3.362000,3.487000,2.536784,17414
2014-01-12,3.358000,3.635000,3.358000,3.635000,2.644454,3878
2014-01-19,3.627000,3.627000,3.330000,3.356000,2.441482,834
2014-01-26,3.330000,3.404000,3.309000,3.404000,2.476402,445
2014-02-02,3.388000,3.635000,3.374000,3.635000,2.644454,0
2014-02-09,3.611000,3.755000,3.611000,3.695000,2.688104,0
2014-02-16,3.850000,3.916000,3.768000,3.904000,2.840151,778
2014-02-23,3.867000,3.867000,3.527000,3.527000,2.565884,0
2014-03-02,3.434000,3.521000,3.432000,3.521000,2.632851,0
2014-03-09,3.173000,3.287000,3.106000,3.201000,2.393569,2700
2014-03-16,3.163000,3.225000,3.146000,3.225000,2.411515,0
2014-03-23,3.322000,3.567000,3.322000,3.567000,2.667248,1500
2014-03-30,3.495000,3.636000,3.495000,3.636000,2.718843,0
2014-04-06,3.657000,3.737000,3.540000,3.540000,2.647058,0
2014-04-13,3.572000,3.610000,3.569000,3.569000,2.668743,0
2014-04-20,3.569000,3.570000,3.482000,3.562000,2.663509,0
2014-04-27,3.393000,3.393000,3.250000,3.250000,2.430209,0
2014-05-04,3.212000,3.215000,3.080000,3.213000,2.402542,0
2014-05-11,3.171000,3.226000,3.146000,3.146000,2.352442,223
2014-05-18,2.974000,3.077000,2.939000,3.020000,2.258225,0
2014-05-25,3.052000,3.152000,3.052000,3.152000,2.356928,750
2014-06-01,null,null,null,null,null,null
2014-06-08,null,null,null,null,null,null
2014-06-15,2.850000,2.900000,2.677000,2.900000,2.168494,1451
2014-06-22,3.018000,3.103000,2.972000,3.067000,2.293369,2000
2014-06-29,2.998000,3.144000,2.978000,3.130000,2.340478,4070
2014-07-06,3.113000,3.113000,2.957000,2.957000,2.211116,0
2014-07-13,2.896000,3.139000,2.896000,3.139000,2.347207,0
2014-07-20,3.172000,3.282000,3.172000,3.177000,2.375623,7578
2014-07-27,3.292000,3.434000,3.174000,3.174000,2.373379,9600
2014-08-03,3.261000,3.261000,3.105000,3.105000,2.321784,1200
2014-08-10,3.122000,3.122000,3.114000,3.114000,2.328514,0
2014-08-17,3.180000,3.180000,3.180000,3.180000,2.377866,0
2014-08-24,null,null,null,null,null,null
2014-08-31,2.878000,2.878000,2.873000,2.873000,2.148304,0
2014-09-07,null,null,null,null,null,null
2014-09-14,2.709000,2.709000,2.709000,2.709000,2.025673,525
2014-09-21,2.502000,2.502000,2.502000,2.502000,1.870887,4800
2014-09-28,2.311000,2.370000,2.311000,2.370000,1.772183,800
2014-10-05,2.235000,2.235000,2.175000,2.175000,1.626371,0
2014-10-12,2.475000,2.475000,2.258000,2.350000,1.757228,0
2014-10-19,2.350000,2.502000,2.307000,2.408000,1.800598,2000
2014-10-26,2.300000,2.419000,2.300000,2.414000,1.805084,0
2014-11-02,2.278000,2.278000,2.076000,2.160000,1.615154,400
2014-11-09,2.058000,2.058000,1.995000,1.997000,1.493270,0
2014-11-16,2.062000,2.062000,1.825000,1.987000,1.485792,11473
2014-11-23,1.939000,1.976000,1.939000,1.976000,1.477567,0
2014-11-30,1.872000,1.872000,1.860000,1.860000,1.390827,0
2014-12-07,1.704000,1.755000,1.623000,1.623000,1.213609,3000
2014-12-14,1.633000,1.692000,1.633000,1.692000,1.265204,6000
2014-12-21,null,null,null,null,null,null
